name,symbol,price_usd,market_cap_usd,volume_24h_usd,percent_change_1h_usd,percent_change_24h_usd,percent_change_7d_usd,acquired_timestamp
Bitcoin,BTC,92174.62515941546,1839579321651.7913,66404815912.09967,-0.95036795,-0.4773007,0.66130155,2025-12-04 22:54:36
Ethereum,ETH,3166.8036383794106,382218728400.2272,29097522621.67209,-1.41037158,2.00148313,4.79263589,2025-12-04 22:54:36
Tether USDt,USDT,1.0002004679748742,185339337044.5001,102161203423.33406,-0.01075126,-0.01044357,0.03482742,2025-12-04 22:54:36
XRP,XRP,2.1306126385726047,128543344733.45964,3257656379.0815005,-1.13819748,-1.93668567,-3.69335555,2025-12-04 22:54:36
BNB,BNB,905.3615302199356,124700945665.55125,2082206814.6490052,-0.51401431,0.54380877,1.28117352,2025-12-04 22:54:36
Solana,SOL,142.3357837197255,79675735190.46213,4754093375.72403,-0.39909155,0.85158468,0.23860033,2025-12-04 22:54:36
USDC,USDC,0.9998317575832295,77821703347.24413,12311480265.106644,-0.01043055,-0.00746125,0.00338398,2025-12-04 22:54:36
TRON,TRX,0.28341070242148786,26832961226.179115,503418945.82558054,0.01775106,1.59592788,1.34115009,2025-12-04 22:54:36
Dogecoin,DOGE,0.14934978309042898,24129499487.760826,1241001802.7620053,-0.39955553,-0.63975154,-2.472435,2025-12-04 22:54:36
Cardano,ADA,0.4458485231132923,16005378063.375113,694417042.5258467,-1.03002206,1.60299094,3.09315844,2025-12-04 22:54:36
